_H:,$Event,%c0t0,%c0t1,%c0t2,%c0t3,%c1t0,%c1t1,%c1t2,%c1t3,%c2t0,%c2t1,%c2t2,%c2t3,%c3t0,%c3t1,%c3t2,%c3t3
_D:,evt_0,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
_D:,evt_1,-1,0,0,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
_D:,evt_2,-1,0,0,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
_D:,evt_3,-1,0,0,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
_D:,evt_4,-1,1,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
_D:,evt_5,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
_D:,evt_6,-1,1,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
_D:,evt_7,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
_D:,evt_8,-1,0,1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
_D:,evt_9,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
_D:,evt_10,-1,1,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
_D:,evt_11,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
_D:,evt_12,-1,0,0,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
_D:,evt_13,-1,1,0,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
_D:,evt_14,-1,1,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
_D:,evt_15,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
_D:,evt_16,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
_D:,evt_17,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
_D:,evt_18,-1,0,0,-1,0,-1,1,-1,0,0,-1,-1,-1,-1,-1,-1
_D:,evt_19,-1,1,1,-1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1
_D:,evt_20,-1,1,1,-1,0,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1
_D:,evt_21,-1,0,1,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1
_D:,evt_22,-1,1,0,-1,0,-1,0,-1,1,0,-1,-1,-1,-1,-1,-1
_D:,evt_23,-1,1,0,-1,0,-1,0,-1,0,1,-1,-1,-1,-1,-1,-1
_D:,evt_24,-1,0,0,-1,0,-1,1,-1,0,0,-1,-1,-1,-1,-1,-1
_D:,evt_25,-1,0,1,-1,1,-1,0,-1,1,0,-1,-1,-1,-1,-1,-1
_D:,evt_26,-1,1,0,-1,1,-1,1,-1,1,0,-1,-1,-1,-1,-1,-1
_D:,evt_27,-1,1,-1,0,0,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1
_D:,evt_28,-1,1,-1,1,0,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1
_D:,evt_29,-1,0,-1,0,0,-1,-1,0,-1,-1,-1,-1,0,1,-1,-1
_D:,evt_30,-1,1,-1,0,0,-1,-1,0,-1,-1,-1,-1,0,1,-1,-1
_D:,evt_31,-1,1,-1,0,0,-1,-1,1,-1,-1,-1,-1,0,0,-1,-1
_D:,evt_32,-1,1,-1,1,0,-1,-1,1,-1,-1,-1,-1,0,0,-1,-1
_D:,evt_33,-1,0,-1,0,0,-1,-1,0,-1,-1,-1,-1,0,0,-1,-1
_D:,evt_34,-1,0,-1,0,0,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1
_D:,evt_35,-1,1,-1,0,0,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1
